canonical_name,match_type,tiers_present,total_mentions,document_count,profiles_present,covered,excluded,unknown,phrase_count,sentence_count,parent_headers
"Select services, equipment, tools to manage Type 2 diabetes",exact,2,14,14,ppo_medical,14,0,0,14,0,Enhanced Condition Management Program (ECMP)
Cardiovascular Management Program,exact,2,14,14,ppo_medical,14,0,0,14,0,Enhanced Condition Management Program (ECMP)
"Select services, equipment, and tools to manage hypertension",exact,2,14,14,ppo_medical,14,0,0,14,0,Enhanced Condition Management Program (ECMP)
Fertility Preservation,exact,1,14,14,ppo_medical,14,0,0,14,0,
Collection of mature eggs and sperm,exact,2,14,14,ppo_medical,14,0,0,14,0,Fertility Preservation
"Cryopreservation of embryos, mature eggs and sperm",exact,2,14,14,ppo_medical,14,0,0,14,0,Fertility Preservation
"Storage of embryos, mature eggs and sperm for up to one year",exact,2,14,14,ppo_medical,14,0,0,0,14,Fertility Preservation
"Thawing of embryos, mature eggs and sperm within one year of procurement",exact,2,14,14,ppo_medical,14,0,0,0,14,Fertility Preservation
Culture of eggs,exact,2,14,14,ppo_medical,14,0,0,14,0,Fertility Preservation
Ovarian transposition,exact,2,14,14,ppo_medical,14,0,0,14,0,Fertility Preservation
Embryo transfer to member within one year from cryopreservation,exact,2,14,14,ppo_medical,14,0,0,14,0,Fertility Preservation
"Storage of sperm, eggs or embryos for longer than one year",exact,2,14,14,ppo_medical,0,14,0,0,14,Fertility Preservation
Co-culture of embryo(s),exact,2,14,14,ppo_medical,0,14,0,14,0,Fertility Preservation
Post-menopausal members,exact,2,14,14,ppo_medical,0,14,0,14,0,Fertility Preservation
"Members who have undergone elective sterilization (vasectomy, tubal sterilization), with or without reversal",exact,2,14,14,ppo_medical,0,14,0,0,14,Fertility Preservation
Gender Affirming Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
Gender affirming surgery and related services,exact,2,14,14,ppo_medical,14,0,0,14,0,Gender Affirming Services
Prescription drugs including hormone therapy (see Prescription Drugs),exact,2,14,14,ppo_medical,14,0,0,14,0,Gender Affirming Services
"Gender affirming services that are not medically necessary, considered to be cosmetic, experimental, or investigational by BCBSM.",exact,2,14,14,ppo_medical,0,14,0,0,14,Gender Affirming Services
Home Health Care Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
Skilled nursing care provided or supervised by a registered nurse employed by the home health care agency,exact,2,14,14,ppo_medical,14,0,0,0,14,Home Health Care Services
"Social services by a licensed social worker, if requested by the member's attending physician",exact,2,14,14,ppo_medical,14,0,0,0,14,Home Health Care Services
The following when provided for rehabilitation,exact,2,14,14,ppo_medical,14,0,0,0,14,Home Health Care Services
"Part-time health aide services, including preparing meals, laundering, bathing and feeding if",exact,2,14,14,ppo_medical,14,0,0,0,14,Home Health Care Services
"Lab services, prescription drugs, biologicals and solutions related to the condition for which the member is participating in the program",exact,2,14,14,ppo_medical,14,0,0,0,14,Home Health Care Services
"Medical and surgical supplies such as catheters, colostomy supplies, hypodermic needles and oxygen needed to effectively administer the medical treatment plan ordered by the physician",exact,2,14,14,ppo_medical,14,0,0,0,14,Home Health Care Services
General housekeeping services,exact,2,14,14,ppo_medical,0,14,0,14,0,Home Health Care Services
Transportation to and from a hospital or other facility,exact,2,14,14,ppo_medical,0,14,0,14,0,Home Health Care Services
Private duty nursing,exact,2,14,14,ppo_medical,0,14,0,14,0,Home Health Care Services
"Elastic stockings, sheepskin or comfort items (lotion, mouthwash, body powder, etc.)",exact,2,14,14,ppo_medical,0,14,0,0,14,Home Health Care Services
Durable medical equipment (when billed by the home health care agency unless the agency is an approved DME provider),exact,2,14,14,ppo_medical,0,14,0,0,14,Home Health Care Services
Physician services (when billed by the home health care agency),exact,2,14,14,ppo_medical,0,14,0,0,14,Home Health Care Services
Custodial or nonskilled care,exact,2,14,14,ppo_medical,0,14,0,14,0,Home Health Care Services
Services performed by a nonparticipating home health care provider,exact,2,14,14,ppo_medical,0,14,0,0,14,Home Health Care Services
Hospice Care Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
Up to eight hours of routine home care per day,exact,2,14,14,ppo_medical,14,0,0,14,0,Hospice Care Services
Continuous home care for up to 24 hours per day during periods of crisis,exact,2,14,14,ppo_medical,14,0,0,0,14,Hospice Care Services
Home health aide services provided by qualified aides. These services must be rendered under the general supervision of a registered nurse.,exact,2,14,14,ppo_medical,14,0,0,0,14,Hospice Care Services
Inpatient care provided by,exact,2,14,14,ppo_medical,14,0,0,0,14,Hospice Care Services
Five days of occasional respite care during a 30-day period,exact,2,14,14,ppo_medical,14,0,0,14,0,Hospice Care Services
Physician services by a member of the hospice interdisciplinary team,exact,2,14,14,ppo_medical,14,0,0,14,0,Hospice Care Services
"Nursing care provided by, or under the supervision of, a registered nurse",exact,2,14,14,ppo_medical,14,0,0,0,14,Hospice Care Services
"Medical social services by a licensed social worker, provided under the direction of a physician",exact,2,14,14,ppo_medical,14,0,0,0,14,Hospice Care Services
"Counseling services to the member and to caregivers, when care is provided at home",exact,2,14,14,ppo_medical,14,0,0,0,14,Hospice Care Services
BCBSM-approved medical appliances and supplies (these include drugs and biologicals to provide comfort to the member),exact,2,14,14,ppo_medical,14,0,0,0,14,Hospice Care Services
BCBSM-approved durable medical equipment furnished by the hospice program for use in a member’s home,exact,2,14,14,ppo_medical,14,0,0,0,14,Hospice Care Services
Bereavement counseling for the family after the member’s death,fuzzy,2,14,14,ppo_medical,14,0,0,14,0,Hospice Care Services
Provided by the attending physician to make the member comfortable and to manage the terminal illness and related conditions,exact,2,14,14,ppo_medical,14,0,0,0,14,Hospice Care Services
"Of a hospice program other than the one designated by the member. (If the designated program arranges for the member to receive the services of another hospice program, the services are covered.)",exact,2,14,14,ppo_medical,0,14,0,0,14,Hospice Care Services
That are not part of the plan of care established by the hospice program for the member.,exact,2,14,14,ppo_medical,0,14,0,0,14,Hospice Care Services
Hospital Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
Inpatient Hospital Services,exact,2,14,14,ppo_medical,14,0,0,14,0,Hospital Services
Outpatient Hospital Services,exact,2,14,14,ppo_medical,14,0,0,14,0,Hospital Services
Temporary Benefits for Hospital Services,exact,2,14,14,ppo_medical,14,0,0,14,0,Hospital Services
Infertility Treatment,exact,1,14,14,ppo_medical,14,0,0,14,0,
Medically necessary diagnostic services,exact,2,14,14,ppo_medical,14,0,0,14,0,Infertility Treatment
Counseling services,exact,2,14,14,ppo_medical,14,0,0,14,0,Infertility Treatment
Planning services,exact,2,14,14,ppo_medical,14,0,0,14,0,Infertility Treatment
Artificial insemination,exact,2,14,14,ppo_medical,0,14,0,14,0,Infertility Treatment
Sperm washing,exact,2,14,14,ppo_medical,0,14,0,14,0,Infertility Treatment
Post-coital test,exact,2,14,14,ppo_medical,0,14,0,14,0,Infertility Treatment
Monitoring of ovarian response to ovulatory stimulants,exact,2,14,14,ppo_medical,0,14,0,14,0,Infertility Treatment
In vitro fertilization,exact,2,14,14,ppo_medical,0,14,0,14,0,Infertility Treatment
Ovarian wedge resection or ovarian drilling,exact,2,14,14,ppo_medical,0,14,0,14,0,Infertility Treatment
Reconstructive surgery of one or both fallopian tubes to open the blockage that causes infertility,exact,2,14,14,ppo_medical,0,14,0,0,14,Infertility Treatment
Diagnostic studies done for the sole purpose of infertility assessment,exact,2,14,14,ppo_medical,0,14,0,14,0,Infertility Treatment
Any procedure done to enhance reproductive capacity or fertility,exact,2,14,14,ppo_medical,0,14,0,14,0,Infertility Treatment
Infusion Therapy,exact,1,14,14,ppo_medical,14,0,0,14,0,
Nursing services needed to administer infusion therapy and treat infusion therapy-related wound care,exact,2,14,14,ppo_medical,14,0,0,0,14,Infusion Therapy
"Durable medical equipment, medical supplies and solutions needed for infusion therapy",exact,2,14,14,ppo_medical,14,0,0,0,14,Infusion Therapy
Long-Term Acute Care Hospital Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
"Services in a nonparticipating LTACH, including emergency services, unless BCBSM determines there are extenuating circumstances",exact,2,14,14,ppo_medical,0,14,0,0,14,Long-Term Acute Care Hospital Services
Inpatient admissions that BCBSM has not preapproved,exact,2,14,14,ppo_medical,0,14,0,14,0,Long-Term Acute Care Hospital Services
LTACH services if the member ’s primary diagnosis is a mental health or substance use disorder condition,exact,2,14,14,ppo_medical,0,14,0,0,14,Long-Term Acute Care Hospital Services
Maternity Care,exact,1,14,14,ppo_medical,14,0,0,14,0,
Obstetrics,exact,2,14,14,ppo_medical,14,0,0,14,0,Maternity Care
"Lamaze, parenting or other similar classes.",exact,2,14,14,ppo_medical,0,14,0,14,0,Maternity Care
Services provided to the newborn if one of the following apply,exact,2,14,14,ppo_medical,0,14,0,0,14,Maternity Care
Medical Supplies,exact,1,14,14,ppo_medical,14,0,0,14,0,
"Gauze, cotton, fabrics, plaster and other materials used in dressings and casts",exact,2,14,14,ppo_medical,14,0,0,0,14,Medical Supplies
Catheterization equipment and urinary sets,exact,2,14,14,ppo_medical,14,0,0,14,0,Medical Supplies
Newborn Care,exact,1,14,14,ppo_medical,14,0,0,14,0,
Newborn examination,exact,2,14,14,ppo_medical,14,0,0,14,0,Newborn Care
Routine care,exact,2,14,14,ppo_medical,14,0,0,14,0,Newborn Care
Parenting or other similar classes,exact,2,14,14,ppo_medical,0,14,0,14,0,Newborn Care
Therapy billed as a habilitative service when it does not meet the definition of habilitative in this certificate,exact,2,14,14,ppo_medical,0,14,0,0,14,Occupational Therapy
Therapy that is performed without an occupational therapy treatment plan,exact,2,14,14,ppo_medical,0,14,0,14,0,Occupational Therapy
"Treatment solely to improve cognition (e.g., memory or perception), concentration and/or attentiveness, organizational or problem-solving skills, academic skills, impulse control or other behaviors for which behavior modification is sought without an occupational therapy treatment plan that guides and helps to monitor the provided therapy",exact,2,14,14,ppo_medical,0,14,0,0,14,Occupational Therapy
"Office, Outpatient and Home Medical Care Visits",exact,1,14,14,ppo_medical,14,0,0,14,0,
The diagnosis of a condition,exact,2,14,14,ppo_medical,14,0,0,14,0,"Office, Outpatient and Home Medical Care Visits"
Treatment and consultation recommendations,exact,2,14,14,ppo_medical,14,0,0,14,0,"Office, Outpatient and Home Medical Care Visits"
Harvesting (including peripheral blood stem cell pheresis) and storage of bone marrow and/or peripheral blood stem cells,exact,2,14,12,ppo_medical,14,0,0,0,14,Oncology Clinical Trials | Transplant Services
Bone marrow,exact,2,14,14,ppo_medical,14,0,0,14,0,Oncology Clinical Trials
Peripheral blood stem cell (including peripheral blood stem cell pheresis),exact,2,14,14,ppo_medical,14,0,0,14,0,Oncology Clinical Trials
Umbilical cord blood,exact,2,14,14,ppo_medical,14,0,0,14,0,Oncology Clinical Trials
Travel and Lodging,exact,2,14,14,ppo_medical,14,0,0,14,0,Oncology Clinical Trials
An admission to a designated center or a length of stay at a designated center that has not been preapproved,exact,2,14,14,ppo_medical,0,14,0,0,14,Oncology Clinical Trials
Services that have not been preapproved,exact,2,14,14,ppo_medical,0,14,0,0,14,Oncology Clinical Trials
Services provided by persons or entities that are not legally qualified or licensed to provide such services,exact,2,14,14,ppo_medical,0,14,0,0,14,Oncology Clinical Trials
Donor services for a transplant recipient who is not a BCBSM member,exact,2,14,14,ppo_medical,0,14,0,0,14,Oncology Clinical Trials
Services rendered to a donor when the donor’s health care coverage will pay for such services,exact,2,14,14,ppo_medical,0,14,0,0,14,Oncology Clinical Trials
"The routine harvesting and storage costs of bone marrow, peripheral blood stem cells or a newborn’s umbilical cord blood if not intended for transplant within one year",exact,2,14,14,ppo_medical,0,14,0,0,14,Oncology Clinical Trials
More than two single transplants per member for the same condition,exact,2,14,14,ppo_medical,0,14,0,0,14,Oncology Clinical Trials
Non-health care related services and/or research management (such as administrative costs),exact,2,14,14,ppo_medical,0,14,0,0,14,Oncology Clinical Trials
Search of an international donor registry,exact,2,14,14,ppo_medical,0,14,0,14,0,Oncology Clinical Trials
Experimental treatment not included in this certificate,exact,2,14,14,ppo_medical,0,14,0,14,0,Oncology Clinical Trials
"Items or services that are normally covered by other funding sources (e.g., investigational drugs funded by a drug company)",exact,2,14,14,ppo_medical,0,14,0,0,14,Oncology Clinical Trials
"Any other services, admissions or length of stay related to any of the above exclusions",exact,2,14,14,ppo_medical,0,14,0,0,14,Oncology Clinical Trials
Optometrist Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
Covered services are provided within the state of Michigan.,exact,2,14,14,ppo_medical,14,0,0,14,0,Optometrist Services
Routine eye exams or services,exact,2,14,14,ppo_medical,0,14,0,14,0,Optometrist Services
Outpatient Diabetes Management Program (ODMP),fuzzy,1,14,14,ppo_medical,14,0,0,14,0,
"Diabetes self-management training conducted in a group setting, whenever practicable, if",exact,2,14,14,ppo_medical,14,0,0,0,14,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Pain Management,exact,1,14,14,ppo_medical,14,0,0,14,0,
Services and devices for pain management provided by a nonparticipating hospital or facility.,exact,2,14,14,ppo_medical,0,14,0,0,14,Pain Management
"Tests to measure physical capacities such as strength, dexterity, coordination or stamina, unless part of a complete physical therapy treatment program",exact,2,14,14,ppo_medical,0,14,0,0,14,Physical Therapy
"Treatment solely to improve cognition (e.g., memory or perception), concentration and/or attentiveness, organizational or problem-solving skills, academic skills, impulse control or other behaviors for which behavior modification is sought without a physical therapy treatment plan that guides and helps to monitor the provided therapy",exact,2,14,14,ppo_medical,0,14,0,0,14,Physical Therapy
Sports medicine for purposes such as prevention of injuries or for conditioning,exact,2,14,14,ppo_medical,0,14,0,0,14,Physical Therapy
Prescription Drugs,exact,1,14,14,ppo_medical,14,0,0,14,0,
Glucometers,exact,2,14,14,ppo_medical,14,0,0,14,0,Prescription Drugs
Continuous glucose monitors,exact,2,14,14,ppo_medical,14,0,0,14,0,Prescription Drugs
Insulin delivery monitors,exact,2,14,14,ppo_medical,14,0,0,14,0,Prescription Drugs
Test strips for glucometer,exact,2,14,14,ppo_medical,14,0,0,14,0,Prescription Drugs
Test strips and lancets,exact,2,14,14,ppo_medical,14,0,0,14,0,Prescription Drugs
Continuous glucose monitor sensors,exact,2,14,14,ppo_medical,14,0,0,14,0,Prescription Drugs
Insulin delivery reservoirs,exact,2,14,14,ppo_medical,14,0,0,14,0,Prescription Drugs
Any prescribed drugs that are medically necessary for the treatment of gender dysphoria and gender affirming services.,exact,2,14,14,ppo_medical,14,0,0,0,14,Prescription Drugs
Prescription drugs that we consider to be cosmetic,exact,2,14,14,ppo_medical,0,14,0,14,0,Prescription Drugs
Prescription drugs that are experimental or investigational.,exact,2,14,14,ppo_medical,0,14,0,14,0,Prescription Drugs
Drugs Received in a Hospital,exact,2,14,14,ppo_medical,14,0,0,14,0,Prescription Drugs
Drugs Received in Other Locations,exact,2,14,14,ppo_medical,14,0,0,14,0,Prescription Drugs
Drugs Administered by a Physician,exact,2,14,14,ppo_medical,14,0,0,0,14,Prescription Drugs
FDA approved,exact,2,14,14,ppo_medical,14,0,0,14,0,Prescription Drugs
Ordered or furnished by a physician,exact,2,14,14,ppo_medical,14,0,0,0,14,Prescription Drugs
Administered and billed by a physician,exact,2,14,14,ppo_medical,14,0,0,0,14,Prescription Drugs
Preventive Care Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
Health Maintenance Examination,exact,2,14,14,ppo_medical,14,0,0,14,0,Preventive Care Services
Related reading and interpretation of your test results,exact,2,14,14,ppo_medical,14,0,0,14,0,Preventive Care Services
Routine Gynecological Examination,exact,2,14,14,ppo_medical,14,0,0,14,0,Preventive Care Services
Morbid Obesity Weight Management,exact,2,14,14,ppo_medical,14,0,0,14,0,Preventive Care Services
Tobacco Cessation Programs,exact,2,14,14,ppo_medical,14,0,0,14,0,Preventive Care Services
Professional Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
Therapeutic injections,exact,2,14,14,ppo_medical,0,14,0,14,0,Professional Services
Prosthetic and Orthotic Devices,exact,1,14,14,ppo_medical,14,0,0,14,0,
The cost of purchasing or replacing the device,exact,2,14,14,ppo_medical,14,0,0,14,0,Prosthetic and Orthotic Devices
The cost of developing and fitting the basic device,exact,2,14,14,ppo_medical,14,0,0,14,0,Prosthetic and Orthotic Devices
Any medically necessary special features,exact,2,14,14,ppo_medical,14,0,0,14,0,Prosthetic and Orthotic Devices
"Repairs, limited to the cost of a new device",exact,2,14,14,ppo_medical,14,0,0,14,0,Prosthetic and Orthotic Devices
"Hair prostheses such as wigs, hair pieces, hair implants, etc.",exact,2,14,14,ppo_medical,0,14,0,14,0,Prosthetic and Orthotic Devices
Spare prosthesis devices,exact,2,14,14,ppo_medical,0,14,0,14,0,Prosthetic and Orthotic Devices
Routine maintenance of a prosthetic device,exact,2,14,14,ppo_medical,0,14,0,14,0,Prosthetic and Orthotic Devices
Experimental prosthetic devices,exact,2,14,14,ppo_medical,0,14,0,14,0,Prosthetic and Orthotic Devices
Devices ordered or purchased prior to the certificate’s effective date,exact,2,14,14,ppo_medical,0,14,0,14,0,Prosthetic and Orthotic Devices
"Nonrigid devices and supplies such as elastic stockings, garter belts, and corsets",exact,2,14,14,ppo_medical,0,14,0,0,14,Prosthetic and Orthotic Devices
Hearing aids,exact,2,14,14,ppo_medical,0,14,0,14,0,Prosthetic and Orthotic Devices
Pulmonary Rehabilitation,exact,1,14,14,ppo_medical,14,0,0,14,0,
Radiology Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
Diagnostic Radiology Services,exact,2,14,14,ppo_medical,14,0,0,14,0,Radiology Services
"Procedures not directly related and necessary to diagnose a disease, illness, pregnancy or injury",exact,2,14,14,ppo_medical,0,14,0,0,14,Radiology Services
Skilled Nursing Facility Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
"A semiprivate room, including general nursing service, meals and special diets",exact,2,14,14,ppo_medical,14,0,0,0,14,Skilled Nursing Facility Services
Special treatment rooms,exact,2,14,14,ppo_medical,14,0,0,14,0,Skilled Nursing Facility Services
Oxygen and other gas therapy,exact,2,14,14,ppo_medical,14,0,0,14,0,Skilled Nursing Facility Services
"Drugs, biologicals and solutions",exact,2,14,14,ppo_medical,14,0,0,14,0,Skilled Nursing Facility Services
"Gauze, cotton, fabrics, solutions, plaster, and other materials used in dressings and casts",exact,2,14,14,ppo_medical,14,0,0,0,14,Skilled Nursing Facility Services
Durable medical equipment used in the facility or outside the facility when rented or purchased from the skilled nursing facility,exact,2,14,14,ppo_medical,14,0,0,0,14,Skilled Nursing Facility Services
Physician services (up to two visits per week),exact,2,14,14,ppo_medical,14,0,0,14,0,Skilled Nursing Facility Services
Care for senility or developmental disability,exact,2,14,14,ppo_medical,0,14,0,14,0,Skilled Nursing Facility Services
Care for substance use disorder,exact,2,14,14,ppo_medical,0,14,0,14,0,Skilled Nursing Facility Services
Care for mental illness,exact,2,14,14,ppo_medical,0,14,0,14,0,Skilled Nursing Facility Services
Care provided by a nonparticipating skilled nursing facility,exact,2,14,14,ppo_medical,0,14,0,0,14,Skilled Nursing Facility Services
Special Medical Foods for Inborn Errors of Metabolism,exact,1,14,14,ppo_medical,14,0,0,14,0,
The cost of special medical foods must be higher than the cost of foods or items that are not special medical foods,exact,2,14,14,ppo_medical,14,0,0,0,14,Special Medical Foods for Inborn Errors of Metabolism
Medical documentation must support the diagnosis of a covered condition that requires special medical foods,exact,2,14,14,ppo_medical,14,0,0,0,14,Special Medical Foods for Inborn Errors of Metabolism
"Nutritional products, supplements, medical foods or any other items provided to treat medical conditions that are not related to the treatment of inborn errors of metabolism",exact,2,14,14,ppo_medical,0,14,0,0,14,Special Medical Foods for Inborn Errors of Metabolism
"Foods used by members with inborn errors of metabolism that are not special medical foods, as defined by this certificate",exact,2,14,14,ppo_medical,0,14,0,0,14,Special Medical Foods for Inborn Errors of Metabolism
"Nutritional products, supplements or foods used for the member ’s convenience or for weight reduction programs",exact,2,14,14,ppo_medical,0,14,0,0,14,Special Medical Foods for Inborn Errors of Metabolism
A maximum of 30 habilitative and 30 rehabilitative outpatient visits per member per calendar year.,exact,2,14,14,ppo_medical,14,0,0,0,14,Speech Language Therapy
"Treatment of chronic, developmental or congenital conditions, learning disabilities or inherited speech abnormalities",exact,2,14,14,ppo_medical,0,14,0,0,14,Speech Language Therapy
Therapy that is performed without a speech language therapy treatment plan,fuzzy,2,14,14,ppo_medical,0,14,0,1,13,Speech Language Therapy
Services provided by speech-language pathology assistants or therapy aides,exact,2,14,14,ppo_medical,0,14,0,0,14,Speech Language Therapy
Services received from a nonparticipating freestanding outpatient physical therapy facility or a nonparticipating skilled nursing facility,exact,2,14,14,ppo_medical,0,14,0,0,14,Speech Language Therapy
"More than 30 habilitative and 30 rehabilitative outpatient visits per member per calendar year, whether obtained from an in-network or out-of-network provider",exact,2,14,14,ppo_medical,0,14,0,0,14,Speech Language Therapy
Surgery,exact,1,14,14,ppo_medical,14,0,0,14,0,
Use of ambulatory surgery facility,exact,2,14,14,ppo_medical,14,0,0,14,0,Surgery
Anesthesia services and materials,exact,2,14,14,ppo_medical,14,0,0,14,0,Surgery
Recovery room,exact,2,14,14,ppo_medical,14,0,0,14,0,Surgery
"Nursing care by, or under the supervision of, a registered nurse",exact,2,14,14,ppo_medical,14,0,0,0,14,Surgery
"Drugs, biologicals, surgical dressings, supplies, splints and casts directly related to providing surgery",exact,2,14,14,ppo_medical,14,0,0,0,14,Surgery
Oxygen and other therapeutic gases,exact,2,14,14,ppo_medical,14,0,0,14,0,Surgery
"Skin bank, bone bank and other tissue storage costs for supplies and services for the removal of skin, bone or other tissue, as well as the cost of processing and storage",exact,2,14,14,ppo_medical,14,0,0,0,14,Surgery
Routine laboratory services related to the surgery or a concurrent medical condition,exact,2,14,14,ppo_medical,14,0,0,0,14,Surgery
Services by a nonparticipating ambulatory surgery facility,exact,2,14,14,ppo_medical,0,14,0,14,0,Surgery
Temporary Benefits,exact,1,14,14,ppo_medical,14,0,0,14,0,
Transplant Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
Cornea,exact,2,14,14,ppo_medical,14,0,0,14,0,Transplant Services
Skin,exact,2,14,14,ppo_medical,14,0,0,14,0,Transplant Services
Bone marrow (described below),exact,2,14,14,ppo_medical,14,0,0,14,0,Transplant Services
Two tandem transplants,exact,2,14,14,ppo_medical,14,0,0,14,0,Transplant Services
Two single transplants,exact,2,14,14,ppo_medical,14,0,0,14,0,Transplant Services
A single and a tandem transplant,exact,2,14,14,ppo_medical,14,0,0,14,0,Transplant Services
A first degree relative and matches at least four of the six important HLA genetic markers with the member or,exact,2,14,14,ppo_medical,14,0,0,0,14,Transplant Services
Not a first degree relative and matches five of the six important HLA genetic markers with the member. (This provision does not apply to transplants for sickle cell anemia (ss or sc) or beta thalassemia.),exact,2,14,14,ppo_medical,14,0,0,0,14,Transplant Services
Services that are not BCBSM benefits,exact,2,14,14,ppo_medical,0,14,0,14,0,Transplant Services
Services provided to a recipient who is not a BCBSM member,exact,2,14,14,ppo_medical,0,14,0,0,14,Transplant Services
Living donor transplants not listed in this certificate,exact,2,14,14,ppo_medical,0,14,0,14,0,Transplant Services
Anti-rejection drugs that do not have Food and Drug Administration approval,exact,2,14,14,ppo_medical,0,14,0,0,14,Transplant Services
Transportation and lodging costs for circumstances other than those related to the initial transplant surgery and hospitalization,exact,2,14,14,ppo_medical,0,14,0,0,14,Transplant Services
Routine storage cost of donor organs for the future purpose of transplantation,exact,2,14,14,ppo_medical,0,14,0,0,14,Transplant Services
"Services prior to your organ transplant surgery, such as expenses for evaluation and testing, unless covered elsewhere under this certificate",exact,2,14,14,ppo_medical,0,14,0,0,14,Transplant Services
Experimental transplant procedures. See the “General Conditions of Your Contract” section for guidelines related to experimental treatment,exact,2,14,14,ppo_medical,0,14,0,0,14,Transplant Services
Urgent Care Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
Value Based Programs,exact,1,14,14,ppo_medical,14,0,0,14,0,
"Telephone, individual face-to-face, and group interventions",exact,2,14,14,ppo_medical,14,0,0,14,0,Value Based Programs
"Setting goals by your primary care physician (PCP), your care manager, and yourself to help you manage your health better",exact,2,14,14,ppo_medical,14,0,0,0,14,Value Based Programs
Services performed by providers who are not designated as PDCM providers,exact,2,14,14,ppo_medical,0,14,0,0,14,Value Based Programs
Services performed by providers outside the state of Michigan,exact,2,14,14,ppo_medical,0,14,0,0,14,Value Based Programs
Behavioral Health Treatment,exact,3,14,11,ppo_medical,0,0,14,0,14,
"The service must be provided in a vehicle licensed as a ground or air ambulance, which is part of a licensed ambulance operation.",exact,2,13,13,ppo_medical,0,13,0,0,13,Ambulance Services
Treatment must be provided or supervised by one of the following,exact,2,13,13,ppo_medical,13,0,0,0,13,Autism Spectrum Disorders
"We do not cover any other services provided by a licensed behavior analyst including, but not limited to, treatment of traumatic brain injuries.",exact,2,13,13,ppo_medical,13,0,0,0,13,Autism Spectrum Disorders
The psychologist must have adequate formal university training and supervised experience in ABA.,exact,2,13,13,ppo_medical,13,0,0,0,13,Autism Spectrum Disorders
Only covered in an inpatient or outpatient hospital location,exact,2,13,13,ppo_medical,13,0,0,13,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
"When administered by, or under the supervision, of a physician",exact,2,13,13,ppo_medical,13,0,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Anesthetics for ECT when administered by, or under the supervision of, a physician other than the physician giving the ECT",exact,2,13,13,ppo_medical,13,0,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Must be provided by a board-certified psychiatrist in an outpatient setting.,exact,2,13,13,ppo_medical,13,0,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Inpatient consultations. If a physician needs help diagnosing or treating a member’s condition,",exact,2,13,13,ppo_medical,13,0,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services provided by a nonparticipating hospital,exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Care provided by a non-participating psychiatric residential facility,exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services that are not focused on improving the member’s functioning,exact,2,13,13,ppo_medical,0,13,0,13,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services that are primarily for maintaining long-term gains made by the member while in another treatment program,exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
A residential program that is a long- term substitute for a member’s lack of available supportive living environment within the community,exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
A residential program that serves to protect family members and other individuals in the member’s living environment,exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services or treatment that are cognitive in nature or supplies related to such services or treatment,exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Transitional living centers such as half-way and three-quarter way houses,exact,2,13,13,ppo_medical,0,13,0,13,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Therapeutic boarding schools,exact,2,13,13,ppo_medical,0,13,0,13,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Milieu therapies, such as wilderness program, supportive houses or group homes",exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Domiciliary foster care,exact,2,13,13,ppo_medical,0,13,0,13,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Treatment or programs for sex offenders or perpetrators of sexual or physical violence,exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services to hold or confine a member under chemical influence when the member does not require medical treatment,exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
A private room or an apartment,exact,2,13,13,ppo_medical,0,13,0,13,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
